Team_ID,Season_ID,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
15,2026,Memphis Grizzlies,82,240.6,41.3,90.6,0.456,13.9,39.5,0.353,27.4,51.1,0.536,18.0,22.8,0.793,11.2,31.0,42.1,27.8,8.8,4.8,15.1,20.5,114.7
16,2021,Miami Heat*,72,241.4,39.2,83.7,0.468,12.9,36.2,0.358,26.3,47.5,0.553,16.7,21.1,0.79,8.0,33.5,41.5,26.3,7.9,4.0,14.1,18.9,108.1
16,2022,Miami Heat*,82,242.1,39.6,84.8,0.467,13.6,35.8,0.379,26.0,49.0,0.531,17.3,21.4,0.808,9.8,33.9,43.7,25.5,7.4,3.2,14.6,20.5,110.0
16,2023,Miami Heat*,82,241.5,39.2,85.3,0.46,12.0,34.8,0.344,27.3,50.5,0.54,19.1,23.0,0.831,9.7,30.9,40.6,23.8,8.0,3.0,13.5,18.5,109.5
16,2024,Miami Heat*,82,240.9,39.8,85.6,0.465,12.5,33.7,0.37,27.4,51.9,0.527,18.0,22.0,0.818,9.3,33.0,42.3,25.8,7.5,3.4,12.7,17.3,110.1
16,2025,Miami Heat*,82,243.0,40.5,87.0,0.465,13.7,37.3,0.367,26.8,49.7,0.538,16.0,20.2,0.791,9.7,33.7,43.4,26.4,8.1,3.8,13.6,15.5,110.6
16,2026,Miami Heat*,82,240.3,43.7,93.3,0.468,13.7,37.9,0.361,30.0,55.4,0.542,19.8,25.0,0.792,11.8,34.5,46.3,29.0,8.6,4.3,13.7,18.9,120.9
17,2021,Milwaukee Bucks*,72,240.7,44.7,91.8,0.487,14.4,37.1,0.389,30.3,54.7,0.554,16.2,21.4,0.76,10.3,37.8,48.1,25.5,8.1,4.6,13.8,17.3,120.1
17,2022,Milwaukee Bucks*,82,240.9,41.8,89.4,0.468,14.1,38.4,0.366,27.8,51.0,0.544,17.8,22.9,0.776,10.2,36.5,46.7,23.9,7.6,4.0,13.4,18.2,115.5
17,2023,Milwaukee Bucks*,82,241.8,42.7,90.4,0.473,14.8,40.3,0.368,27.9,50.1,0.557,16.6,22.4,0.743,11.1,37.5,48.6,25.8,6.4,4.9,14.6,18.1,116.9
17,2024,Milwaukee Bucks*,82,241.5,43.1,88.5,0.487,14.2,38.1,0.373,29.0,50.4,0.574,18.5,23.9,0.774,9.4,34.8,44.2,26.5,6.8,5.0,12.9,19.2,119.0
17,2025,Milwaukee Bucks*,82,240.9,42.0,86.4,0.486,14.2,36.6,0.387,27.9,49.7,0.56,17.3,23.1,0.75,8.2,35.1,43.4,25.5,7.3,4.7,13.4,17.9,115.5
17,2026,Milwaukee Bucks,82,240.9,40.8,85.5,0.477,15.1,39.1,0.387,25.7,46.4,0.553,13.9,19.1,0.73,8.9,31.8,40.7,25.8,7.4,4.0,15.2,19.7,110.6
18,2021,Minnesota Timberwolves,72,241.7,40.7,90.9,0.448,13.1,37.6,0.349,27.6,53.3,0.518,17.6,23.1,0.761,10.5,33.0,43.5,25.6,8.8,5.5,14.3,20.9,112.1
18,2022,Minnesota Timberwolves*,82,241.2,41.6,91.0,0.457,14.8,41.3,0.358,26.8,49.7,0.54,18.0,23.1,0.778,11.2,32.9,44.2,25.7,8.8,5.6,14.3,21.8,115.9
